t,vLoca,vLocb,vLocc
0.0108589995652437,568963.875,-663679.25,82979.3515625
0.0108599998056889,568975.8125,-663336.25,82497.7421875
0.010861000046134,568985.6875,-662996.75,82022.3125
0.0108620002865791,568994.1875,-662661.1875,81552.9375
0.0108629995957017,569002.0625,-662329.875,81089.4921875
0.0108639998361468,569009.9375,-662003.25,80631.8828125
0.010865000076592,569018.4375,-661681.625,80180.0078125
0.0108660003170371,569028.3125,-661365.5,79733.8203125
0.0108669996261597,569040.25,-661055.3125,79293.2578125
0.0108679998666048,569054.8125,-660751.5,78858.3046875
0.0108690001070499,569072.875,-660454.625,78428.9375
0.0108700003474951,569095,-660165.3125,78005.1328125
0.0108709996566176,569122.0625,-659884.125,77586.859375
0.0108719998970628,569154.8125,-659611.625,77174.078125
0.0108730001375079,569194.125,-659348.5,76766.734375
0.0108740003779531,569240.6875,-659095.3125,76364.734375
0.0108749996870756,569295.5,-658852.75,75967.984375
0.0108759999275208,569359.1875,-658621.3125,75576.3359375
0.0108770001679659,569432.6875,-658401.4375,75189.59375
0.010878000408411,569516.5,-658193.375,74807.4609375
0.0108789997175336,569611.3125,-657997.0625,74429.5
0.0108799999579787,569717.3125,-657812.25,74055.171875
0.0108810001984239,569834.75,-657638.375,73683.8828125
0.010882000438869,569963.6875,-657474.9375,73315.140625
0.0108829997479916,570104.1875,-657321.625,72948.6875
0.0108839999884367,570256.25,-657178.3125,72584.46875
0.0108850002288818,570419.75,-657045,72222.5703125
0.0108859995380044,570594.625,-656921.375,71862.9765625
0.0108869997784495,570780.4375,-656806.9375,71505.40625
0.0108880000188947,570976.75,-656700.3125,71149.2265625
0.0108890002593398,571182.875,-656600,70793.59375
0.0108899995684624,571397.875,-656504.3125,70437.703125
0.0108909998089075,571620.875,-656411.75,70081.09375
0.0108920000493526,571850.875,-656321.625,69723.859375
0.0108930002897978,572086.9375,-656233.5625,69366.6484375
0.0108939995989203,572328.1875,-656148,69010.53125
0.0108949998393655,572573.75,-656065.375,68656.7421875
0.0108960000798106,572822.9375,-655986.125,68306.3515625
0.0108970003202558,573074.875,-655910.375,67960.15625
0.0108979996293783,573328.75,-655837.875,67618.5703125
0.0108989998698235,573583.875,-655768.125,67281.796875
0.0109000001102686,573839.3125,-655700.5,66949.9375
0.0109010003507137,574094.1875,-655634.5,66623.234375
0.0109019996598363,574347.5625,-655569.875,66302.171875
0.0109029999002814,574598.5,-655506.5625,65987.5625
0.0109040001407266,574846,-655444.875,65680.4453125
0.0109050003811717,575089.0625,-655385.1875,65382.03515625
0.0109059996902943,575326.6875,-655328.0625,65093.55078125
0.0109069999307394,575557.9375,-655273.75,64816.0859375
0.0109080001711845,575781.875,-655222.375,64550.51171875
0.0109090004116297,575997.5,-655173.8125,64297.421875
0.0109099997207522,576203.9375,-655127.75,64057.125
0.0109109999611974,576400.375,-655083.5625,63829.6796875
0.0109120002016425,576585.875,-655040.375,63614.9765625
0.0109130004420877,576759.6875,-654997.5,63412.78515625
